item_id,title,brand,category_id,domain_id,price,base_price,original_price,currency,condition,seller_id,free_shipping,logistic_type,available_quantity,listing_type_id,permalink,status,catalog_listing,catalog_product_id,seller_city,seller_state,seller_country
MLB5276843214,Mi Tv Box S 2a Geração 4k Mdz-28-aa Google Tv Preto,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,450,450,,BRL,new,1625660794,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-5276843214-mi-tv-box-s-2a-geraco-4k-mdz-28-aa-google-tv-preto-_JM,active,False,MLB13877782,Mauá,São Paulo,Brasil
MLB4775213884,Kit Com  3 Receptor Streaming Express Player Full Hd Roku,Roku,MLB133950,MLB-STREAMING_MEDIA_DEVICES,699,699,,BRL,new,1659464508,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-4775213884-kit-com-3-receptor-streaming-express-player-full-hd-roku-_JM,active,False,,Itajaí,Santa Catarina,Brasil
MLB4473961308,Aparelho Smart Tv Xiaomi Mi Box S 4k Chromecast Google 2gbs,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,598.99,598.99,,BRL,new,835336458,True,fulfillment,,gold_pro,https://produto.mercadolivre.com.br/MLB-4473961308-aparelho-smart-tv-xiaomi-mi-box-s-4k-chromecast-google-2gbs-_JM,active,False,MLB23069361,Sumaré,São Paulo,Brasil
MLB3595118401,Xiaomi Mi Tv Stick Full Hd 8gb Ram Deixa Tv Smart Original,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,396.97,396.97,,BRL,new,142176597,True,fulfillment,,gold_special,https://produto.mercadolivre.com.br/MLB-3595118401-xiaomi-mi-tv-stick-full-hd-8gb-ram-deixa-tv-smart-original-_JM,active,False,MLB15984002,Sumaré,São Paulo,Brasil
MLB3953292925,Tv Box Mi Stick Xiaomi Android Full Hd Versão Global Cor Preto Tipo De Controle Remoto De Voz,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,309.9,309.9,,BRL,new,2040106018,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3953292925-tv-box-mi-stick-xiaomi-android-full-hd-verso-global-cor-preto-tipo-de-controle-remoto-de-voz-_JM,active,True,MLB43275224,São Paulo,São Paulo,Brasil
MLB5270051804,Mi Stick Tv Cor Preto Tipo De Controle Remoto De Voz,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,306,306,,BRL,new,352640462,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-5270051804-mi-stick-tv-cor-preto-tipo-de-controle-remoto-de-voz-_JM,active,True,MLB42839912,São Bernardo do Campo,São Paulo,Brasil
MLB3928093459,Google Chromecast With Google Tv Full Hd 8gb Snow 2gb Ram,Google,MLB133950,MLB-STREAMING_MEDIA_DEVICES,519,519,,BRL,new,781810444,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3928093459-google-chromecast-with-google-tv-full-hd-8gb-snow-2gb-ram-_JM,active,True,MLB38351184,São Bernardo do Campo,São Paulo,Brasil
MLB3928151459,Xiaomi Mi Tv Stick Box Smart Full Hd 8gb Android Cor Azul Tipo De Controle Remoto De Voz,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,311,311,,BRL,new,141935928,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3928151459-xiaomi-mi-tv-stick-box-smart-full-hd-8gb-android-cor-azul-tipo-de-controle-remoto-de-voz-_JM,active,True,MLB40336593,Cedral,São Paulo,Brasil
MLB4345011184,Xiaomi Mi Box S Controle De Voz 4k 8gb Preto Com 2gb De Ram,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,545.7,545.7,,BRL,new,821942913,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-4345011184-xiaomi-mi-box-s-controle-de-voz-4k-8gb-preto-com-2gb-de-ram-_JM,active,False,MLB13877782,São Paulo,São Paulo,Brasil
MLB4947639774,Xiaomi Mi Tv Stick Controle De Voz Full Hd 8gb 1gb Ram,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,313,313,,BRL,new,521502117,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-4947639774-xiaomi-mi-tv-stick-controle-de-voz-full-hd-8gb-1gb-ram-_JM,active,True,MLB37678995,São Bernardo do Campo,São Paulo,Brasil
